side,position,gamelength,gamelength,result,result,kills,deaths,assists,KDA,teamkills,teamdeaths,team assist,damageshare,golddiffat10,golddiffat15,totalgold,totalgolddiff,teamgolddiff
Red,top,1720,28.67,1,win,4,3,13,5.67,29,9,56,0.215683,2134,2455,11743,3569,16136
Red,jng,1720,28.67,1,win,7,3,13,6.67,29,9,56,0.299847,1116,1938,11723,3536,16136
Red,mid,1720,28.67,1,win,7,0,8,15.00,29,9,56,0.220383,-155,-384,12225,1012,16136
Red,bot,1720,28.67,1,win,8,1,8,16.00,29,9,56,0.192216,1568,3435,14957,6040,16136
Red,sup,1720,28.67,1,win,3,2,14,8.50,29,9,56,0.0718702,812,866,8238,1979,16136
Blue,top,1673,27.88,1,win,5,3,10,5.00,23,12,57,0.232709,-246,-882,11045,532,8644
Blue,jng,1673,27.88,1,win,3,4,10,3.25,23,12,57,0.103743,-195,-562,9785,66,8644
Blue,mid,1673,27.88,1,win,8,1,8,16.00,23,12,57,0.240267,-266,-117,12728,3028,8644
Blue,bot,1673,27.88,1,win,7,0,10,17.00,23,12,57,0.333877,927,1216,13570,3707,8644
Blue,sup,1673,27.88,1,win,0,4,19,4.75,23,12,57,0.0894035,187,538,7808,1311,8644
Red,top,1673,27.88,0,loss,2,4,4,1.50,12,23,29,0.228914,246,882,10513,-532,-8644
Red,jng,1673,27.88,0,loss,3,5,7,2.00,12,23,29,0.130795,195,562,9719,-66,-8644
Red,mid,1673,27.88,0,loss,4,6,5,1.50,12,23,29,0.360568,266,117,9700,-3028,-8644
Red,bot,1673,27.88,0,loss,2,4,4,1.50,12,23,29,0.192937,-927,-1216,9863,-3707,-8644
Red,sup,1673,27.88,0,loss,1,4,9,2.50,12,23,29,0.0867862,-187,-538,6497,-1311,-8644
Blue,top,1702,28.37,0,loss,4,4,4,2.00,20,32,36,0.200169,1606,1599,11542,-2747,-10541
Blue,jng,1702,28.37,0,loss,3,5,10,2.60,20,32,36,0.116868,561,-14,10636,-1074,-10541
Blue,mid,1702,28.37,0,loss,8,4,3,2.75,20,32,36,0.254651,-625,-2213,11646,-2463,-10541
Blue,bot,1702,28.37,0,loss,5,9,8,1.44,20,32,36,0.33792,300,-585,10718,-2013,-10541
Blue,sup,1702,28.37,0,loss,0,10,11,1.10,20,32,36,0.0903916,-291,-205,6395,-2244,-10541
Red,top,1702,28.37,1,win,10,4,6,4.00,32,20,68,0.235156,-1606,-1599,14289,2747,10541
Red,jng,1702,28.37,1,win,7,5,12,3.80,32,20,68,0.220952,-561,14,11710,1074,10541
Red,mid,1702,28.37,1,win,9,3,16,8.33,32,20,68,0.251667,625,2213,14109,2463,10541
Red,bot,1702,28.37,1,win,5,4,13,4.50,32,20,68,0.223167,-300,585,12731,2013,10541
Red,sup,1702,28.37,1,win,1,4,21,5.50,32,20,68,0.0690591,291,205,8639,2244,10541
Blue,top,1805,30.08,1,win,0,3,21,7.00,30,12,67,0.132116,-469,-737,10865,-1614,11166
Blue,jng,1805,30.08,1,win,8,3,14,7.33,30,12,67,0.125736,1104,1577,12561,2560,11166
Blue,mid,1805,30.08,1,win,11,2,10,10.50,30,12,67,0.230806,104,-781,14876,3780,11166
Blue,bot,1805,30.08,1,win,10,0,9,19.00,30,12,67,0.4435,491,1498,15579,4176,11166
Blue,sup,1805,30.08,1,win,1,4,13,3.50,30,12,67,0.0678423,341,748,8545,2264,11166
Red,top,1805,30.08,0,loss,5,9,2,0.78,12,30,24,0.27717,469,737,12479,1614,-11166
Red,jng,1805,30.08,0,loss,3,6,5,1.33,12,30,24,0.285032,-1104,-1577,10001,-2560,-11166
Red,mid,1805,30.08,0,loss,2,5,7,1.80,12,30,24,0.202663,-104,781,11096,-3780,-11166
Red,bot,1805,30.08,0,loss,2,5,4,1.20,12,30,24,0.137893,-491,-1498,11403,-4176,-11166
Red,sup,1805,30.08,0,loss,0,5,6,1.20,12,30,24,0.0972419,-341,-748,6281,-2264,-11166
Blue,top,1678,27.97,0,loss,7,5,4,2.20,13,29,25,0.294566,543,1483,11661,1216,-12505
Blue,jng,1678,27.97,0,loss,1,5,8,1.80,13,29,25,0.133054,238,-16,8784,-1231,-12505
Blue,mid,1678,27.97,0,loss,2,4,3,1.25,13,29,25,0.176642,-19,80,9631,-4115,-12505
Blue,bot,1678,27.97,0,loss,1,6,6,1.17,13,29,25,0.340391,-649,-1169,8824,-5715,-12505
Blue,sup,1678,27.97,0,loss,2,9,4,0.67,13,29,25,0.0553462,-91,65,6283,-2660,-12505
Red,top,1678,27.97,1,win,4,5,19,4.60,29,14,82,0.236678,-543,-1483,10445,-1216,12505
Red,jng,1678,27.97,1,win,3,2,14,8.50,29,14,82,0.105456,-238,16,10015,1231,12505
Red,mid,1678,27.97,1,win,9,2,12,10.50,29,14,82,0.369253,19,-80,13746,4115,12505
Red,bot,1678,27.97,1,win,10,3,14,8.00,29,14,82,0.195349,649,1169,14539,5715,12505
Red,sup,1678,27.97,1,win,3,2,23,13.00,29,14,82,0.0932632,91,-65,8943,2660,12505
Blue,top,1730,28.83,0,loss,0,3,3,1.00,4,14,9,0.168118,-166,-871,8632,-3719,-14069
Blue,jng,1730,28.83,0,loss,1,2,2,1.50,4,14,9,0.231955,347,344,8763,-643,-14069
Blue,mid,1730,28.83,0,loss,2,4,1,0.75,4,14,9,0.296259,-822,-949,9364,-4985,-14069
Blue,bot,1730,28.83,0,loss,1,4,1,0.50,4,14,9,0.213716,-186,291,10749,-3054,-14069
Blue,sup,1730,28.83,0,loss,0,1,2,2.00,4,14,9,0.0899528,-240,-357,5706,-1668,-14069
Red,top,1730,28.83,1,win,4,2,6,5.00,14,4,44,0.236366,166,871,12351,3719,14069
Red,jng,1730,28.83,1,win,1,1,8,9.00,14,4,44,0.131528,-347,-344,9406,643,14069
Red,mid,1730,28.83,1,win,5,1,8,13.00,14,4,44,0.259493,822,949,14349,4985,14069
Red,bot,1730,28.83,1,win,4,0,9,13.00,14,4,44,0.286689,186,-291,13803,3054,14069
Red,sup,1730,28.83,1,win,0,0,13,13.00,14,4,44,0.0859237,240,357,7374,1668,14069
Blue,top,1850,30.83,0,loss,1,3,1,0.67,3,12,5,0.210151,598,250,9029,-2585,-11805
Blue,jng,1850,30.83,0,loss,1,2,1,1.00,3,12,5,0.131113,-239,-368,8901,-3007,-11805
Blue,mid,1850,30.83,0,loss,0,3,1,0.33,3,12,5,0.293914,-353,-608,9800,-3620,-11805
Blue,bot,1850,30.83,0,loss,1,1,1,2.00,3,12,5,0.267909,93,616,11298,-1484,-11805
Blue,sup,1850,30.83,0,loss,0,3,1,0.33,3,12,5,0.0969138,-20,406,6178,-1109,-11805
Red,top,1850,30.83,1,win,1,1,5,6.00,12,3,28,0.267189,-598,-250,11614,2585,11805
Red,jng,1850,30.83,1,win,4,0,5,9.00,12,3,28,0.180352,239,368,11908,3007,11805
Red,mid,1850,30.83,1,win,5,0,6,11.00,12,3,28,0.274425,353,608,13420,3620,11805
Red,bot,1850,30.83,1,win,1,1,8,9.00,12,3,28,0.216494,-93,-616,12782,1484,11805
Red,sup,1850,30.83,1,win,1,1,4,5.00,12,3,28,0.0615394,20,-406,7287,1109,11805
Blue,top,2019,33.65,1,win,3,0,12,15.00,19,10,41,0.213752,370,914,14321,2261,10944
Blue,jng,2019,33.65,1,win,4,4,5,2.25,19,10,41,0.182114,255,-146,12878,1839,10944
Blue,mid,2019,33.65,1,win,4,4,8,3.00,19,10,41,0.269397,-321,-1085,14384,1993,10944
Blue,bot,2019,33.65,1,win,6,1,6,12.00,19,10,41,0.263357,990,1459,14837,7046,10944
Blue,sup,2019,33.65,1,win,2,1,10,12.00,19,10,41,0.0713807,-1098,-1289,8283,-2195,10944
Red,top,2019,33.65,0,loss,2,5,2,0.80,10,19,19,0.229433,-370,-914,12060,-2261,-10944
Red,jng,2019,33.65,0,loss,5,3,3,2.67,10,19,19,0.203372,-255,146,11039,-1839,-10944
Red,mid,2019,33.65,0,loss,2,5,6,1.60,10,19,19,0.261331,321,1085,12391,-1993,-10944
Red,bot,2019,33.65,0,loss,1,3,5,2.00,10,19,19,0.143293,-990,-1459,7791,-7046,-10944
Red,sup,2019,33.65,0,loss,0,3,3,1.00,10,19,19,0.162571,1098,1289,10478,2195,-10944
Blue,top,2196,36.60,1,win,5,3,15,6.67,22,14,57,0.201304,298,265,13439,-343,4010
Blue,jng,2196,36.60,1,win,5,3,7,4.00,22,14,57,0.194177,1214,2185,13905,3935,4010
Blue,mid,2196,36.60,1,win,2,3,11,4.33,22,14,57,0.171605,-503,-1349,11717,-3149,4010
Blue,bot,2196,36.60,1,win,6,1,10,16.00,22,14,57,0.340025,1196,2120,15117,6596,4010
Blue,sup,2196,36.60,1,win,4,4,14,4.50,22,14,57,0.092889,-425,-1095,9591,-3029,4010
Red,top,2196,36.60,0,loss,7,4,7,3.50,14,22,34,0.28334,-298,-265,13782,343,-4010
Red,jng,2196,36.60,0,loss,0,5,6,1.20,14,22,34,0.0838499,-1214,-2185,9970,-3935,-4010
Red,mid,2196,36.60,0,loss,4,3,6,3.33,14,22,34,0.247903,503,1349,14866,3149,-4010
Red,bot,2196,36.60,0,loss,1,4,9,2.50,14,22,34,0.151463,-1196,-2120,8521,-6596,-4010
Red,sup,2196,36.60,0,loss,2,6,6,1.33,14,22,34,0.233445,425,1095,12620,3029,-4010
Blue,top,1878,31.30,1,win,2,2,8,5.00,14,9,39,0.107289,-295,-678,9461,-786,7781
Blue,jng,1878,31.30,1,win,2,3,7,3.00,14,9,39,0.258406,289,294,11076,938,7781
Blue,mid,1878,31.30,1,win,7,2,2,4.50,14,9,39,0.3505,434,631,14875,4210,7781
Blue,bot,1878,31.30,1,win,2,2,10,6.00,14,9,39,0.217095,534,1466,11924,1593,7781
Blue,sup,1878,31.30,1,win,1,0,12,13.00,14,9,39,0.0667104,506,894,7984,1826,7781
Red,top,1878,31.30,0,loss,2,4,4,1.50,9,14,17,0.145674,295,678,10247,786,-7781
Red,jng,1878,31.30,0,loss,2,2,5,3.50,9,14,17,0.196499,-289,-294,10138,-938,-7781
Red,mid,1878,31.30,0,loss,4,1,2,6.00,9,14,17,0.356908,-434,-631,10665,-4210,-7781
Red,bot,1878,31.30,0,loss,1,1,2,3.00,9,14,17,0.246304,-534,-1466,10331,-1593,-7781
Red,sup,1878,31.30,0,loss,0,6,4,0.67,9,14,17,0.0546138,-506,-894,6158,-1826,-7781
Blue,top,1979,32.98,1,win,1,2,14,7.50,21,8,45,0.215397,-349,414,11957,-552,7880
Blue,jng,1979,32.98,1,win,7,1,10,17.00,21,8,45,0.248709,522,1290,13865,2494,7880
Blue,mid,1979,32.98,1,win,4,1,7,11.00,21,8,45,0.203176,-370,-521,13436,195,7880
Blue,bot,1979,32.98,1,win,9,2,5,7.00,21,8,45,0.288481,1023,1987,15034,8282,7880
Blue,sup,1979,32.98,1,win,0,2,9,4.50,21,8,45,0.0442374,-847,-1336,7511,-2539,7880
Red,top,1979,32.98,0,loss,4,5,2,1.20,8,21,17,0.267817,349,-414,12509,552,-7880
Red,jng,1979,32.98,0,loss,3,3,2,1.67,8,21,17,0.175763,-522,-1290,11371,-2494,-7880
Red,mid,1979,32.98,0,loss,1,4,5,1.50,8,21,17,0.324877,370,521,13241,-195,-7880
Red,bot,1979,32.98,0,loss,0,5,3,0.60,8,21,17,0.135992,-1023,-1987,6752,-8282,-7880
Red,sup,1979,32.98,0,loss,0,4,5,1.25,8,21,17,0.0955513,847,1336,10050,2539,-7880
Blue,top,1869,31.15,1,win,1,2,9,5.00,13,7,40,0.179054,-59,-803,10735,-924,6140
Blue,jng,1869,31.15,1,win,5,0,5,10.00,13,7,40,0.17393,-282,121,11827,768,6140
Blue,mid,1869,31.15,1,win,3,2,8,5.50,13,7,40,0.25945,342,1282,14353,4897,6140
Blue,bot,1869,31.15,1,win,4,1,5,9.00,13,7,40,0.327408,-208,-350,12107,537,6140
Blue,sup,1869,31.15,1,win,0,2,13,6.50,13,7,40,0.0601572,-124,5,7485,862,6140
Red,top,1869,31.15,0,loss,2,2,3,2.50,7,13,19,0.256066,59,803,11659,924,-6140
Red,jng,1869,31.15,0,loss,2,1,5,7.00,7,13,19,0.344748,282,-121,11059,-768,-6140
Red,mid,1869,31.15,0,loss,1,4,3,1.00,7,13,19,0.139582,-342,-1282,9456,-4897,-6140
Red,bot,1869,31.15,0,loss,2,3,2,1.33,7,13,19,0.189146,208,350,11570,-537,-6140
Red,sup,1869,31.15,0,loss,0,3,6,2.00,7,13,19,0.0704584,124,-5,6623,-862,-6140
Blue,top,1779,29.65,1,win,3,4,5,2.00,19,8,35,0.234138,412,-26,11917,1652,8904
Blue,jng,1779,29.65,1,win,3,1,9,12.00,19,8,35,0.215077,279,793,11733,557,8904
Blue,mid,1779,29.65,1,win,3,0,5,8.00,19,8,35,0.16101,-102,743,11879,-345,8904
Blue,bot,1779,29.65,1,win,9,0,6,15.00,19,8,35,0.290789,400,1426,15083,5363,8904
Blue,sup,1779,29.65,1,win,1,3,10,3.67,19,8,35,0.0989854,443,859,7451,1677,8904
Red,top,1779,29.65,0,loss,1,5,5,1.20,8,19,17,0.188294,-412,26,10265,-1652,-8904
Red,jng,1779,29.65,0,loss,5,3,3,2.67,8,19,17,0.206659,-279,-793,11176,-557,-8904
Red,mid,1779,29.65,0,loss,2,4,1,0.75,8,19,17,0.324374,102,-743,12224,345,-8904
Red,bot,1779,29.65,0,loss,0,1,6,6.00,8,19,17,0.219076,-400,-1426,9720,-5363,-8904
Red,sup,1779,29.65,0,loss,0,6,2,0.33,8,19,17,0.0615972,-443,-859,5774,-1677,-8904
Blue,top,1685,28.08,0,loss,3,5,4,1.40,9,25,25,0.28559,-83,-176,12450,884,-13631
Blue,jng,1685,28.08,0,loss,1,6,4,0.83,9,25,25,0.179249,-489,-1556,7292,-5918,-13631
Blue,mid,1685,28.08,0,loss,0,4,6,1.50,9,25,25,0.177438,-765,-1720,7661,-5677,-13631
Blue,bot,1685,28.08,0,loss,4,3,5,3.00,9,25,25,0.275197,259,764,10423,-1710,-13631
Blue,sup,1685,28.08,0,loss,1,7,6,1.00,9,25,25,0.0825255,-50,732,6481,-1210,-13631
Red,top,1685,28.08,1,win,3,1,15,18.00,25,9,61,0.193225,83,176,11566,-884,13631
Red,jng,1685,28.08,1,win,6,3,9,5.00,25,9,61,0.259659,489,1556,13210,5918,13631
Red,mid,1685,28.08,1,win,10,1,6,16.00,25,9,61,0.246242,765,1720,13338,5677,13631
Red,bot,1685,28.08,1,win,5,1,14,19.00,25,9,61,0.244578,-259,-764,12133,1710,13631
Red,sup,1685,28.08,1,win,1,3,17,6.00,25,9,61,0.0562963,50,-732,7691,1210,13631
Blue,top,1928,32.13,0,loss,1,7,4,0.71,13,30,22,0.174837,533,387,9955,-256,-11213
Blue,jng,1928,32.13,0,loss,1,6,5,1.00,13,30,22,0.171511,10,-592,9217,-4207,-11213
Blue,mid,1928,32.13,0,loss,7,4,4,2.75,13,30,22,0.284442,-54,-652,11930,-2298,-11213
Blue,bot,1928,32.13,0,loss,4,5,4,1.60,13,30,22,0.291588,-1304,-1361,12983,-1908,-11213
Blue,sup,1928,32.13,0,loss,0,8,5,0.63,13,30,22,0.0776211,-519,-701,6910,-2544,-11213
Red,top,1928,32.13,1,win,2,2,17,9.50,30,13,70,0.22258,-533,-387,10211,256,11213
Red,jng,1928,32.13,1,win,8,4,8,4.00,30,13,70,0.23419,-10,592,13424,4207,11213
Red,mid,1928,32.13,1,win,9,2,8,8.50,30,13,70,0.216556,54,652,14228,2298,11213
Red,bot,1928,32.13,1,win,6,3,16,7.33,30,13,70,0.226042,1304,1361,14891,1908,11213
Red,sup,1928,32.13,1,win,5,2,21,13.00,30,13,70,0.100632,519,701,9454,2544,11213
Blue,top,1941,32.35,0,loss,5,8,3,1.00,19,27,29,0.197103,1788,2549,11592,2558,-5347
Blue,jng,1941,32.35,0,loss,8,4,5,3.25,19,27,29,0.3427,30,1515,13150,2213,-5347
Blue,mid,1941,32.35,0,loss,3,3,7,3.33,19,27,29,0.185851,51,55,11427,-151,-5347
Blue,bot,1941,32.35,0,loss,3,4,6,2.25,19,27,29,0.228903,190,-1959,11590,-7192,-5347
Blue,sup,1941,32.35,0,loss,0,8,8,1.00,19,27,29,0.045443,-373,-1510,6524,-2775,-5347
Red,top,1941,32.35,1,win,2,11,9,1.00,27,19,56,0.182417,-1788,-2549,9034,-2558,5347
Red,jng,1941,32.35,1,win,6,3,9,5.00,27,19,56,0.119757,-30,-1515,10937,-2213,5347
Red,mid,1941,32.35,1,win,3,2,16,9.50,27,19,56,0.16036,-51,-55,11578,151,5347
Red,bot,1941,32.35,1,win,13,0,7,20.00,27,19,56,0.413545,-190,1959,18782,7192,5347
Red,sup,1941,32.35,1,win,3,3,15,6.00,27,19,56,0.123921,373,1510,9299,2775,5347
Blue,top,2133,35.55,1,win,5,4,16,5.25,42,21,74,0.191798,138,-57,13112,-3524,6738
Blue,jng,2133,35.55,1,win,10,5,14,4.80,42,21,74,0.14599,1261,876,14335,708,6738
Blue,mid,2133,35.55,1,win,9,5,16,5.00,42,21,74,0.218041,1067,1075,15334,1608,6738
Blue,bot,2133,35.55,1,win,16,4,10,6.50,42,21,74,0.361679,1309,2913,19902,6810,6738
Blue,sup,2133,35.55,1,win,2,3,18,6.67,42,21,74,0.0824923,628,1466,9801,1136,6738
Red,top,2133,35.55,0,loss,7,8,4,1.38,21,42,59,0.23007,-138,57,16636,3524,-6738
Red,jng,2133,35.55,0,loss,8,9,9,1.89,21,42,59,0.259689,-1261,-876,13627,-708,-6738
Red,mid,2133,35.55,0,loss,3,12,12,1.25,21,42,59,0.23592,-1067,-1075,13726,-1608,-6738
Red,bot,2133,35.55,0,loss,3,7,15,2.57,21,42,59,0.178854,-1309,-2913,13092,-6810,-6738
Red,sup,2133,35.55,0,loss,0,6,19,3.17,21,42,59,0.0954668,-628,-1466,8665,-1136,-6738
Blue,top,1940,32.33,0,loss,5,4,12,4.25,25,26,53,0.244659,-297,-708,12487,640,-2402
Blue,jng,1940,32.33,0,loss,8,7,9,2.43,25,26,53,0.200268,-316,-1181,12749,-95,-2402
Blue,mid,1940,32.33,0,loss,8,6,7,2.50,25,26,53,0.246258,-327,-561,13647,-998,-2402
Blue,bot,1940,32.33,0,loss,4,5,11,3.00,25,26,53,0.23389,380,424,11374,-1031,-2402
Blue,sup,1940,32.33,0,loss,0,4,14,3.50,25,26,53,0.0749249,65,-132,7347,-918,-2402
Red,top,1940,32.33,1,win,2,4,18,5.00,26,25,58,0.180175,297,708,11847,-640,2402
Red,jng,1940,32.33,1,win,6,5,10,3.20,26,25,58,0.178102,316,1181,12844,95,2402
Red,mid,1940,32.33,1,win,12,6,3,2.50,26,25,58,0.276231,327,561,14645,998,2402
Red,bot,1940,32.33,1,win,5,4,9,3.50,26,25,58,0.236304,-380,-424,12405,1031,2402
Red,sup,1940,32.33,1,win,1,6,18,3.17,26,25,58,0.129188,-65,132,8265,918,2402
Blue,top,1737,28.95,0,loss,0,3,2,0.67,3,9,10,0.364474,-1159,-1373,9642,-3494,-11507
Blue,jng,1737,28.95,0,loss,1,1,2,3.00,3,9,10,0.213473,-372,-157,9175,-1892,-11507
Blue,mid,1737,28.95,0,loss,0,1,2,2.00,3,9,10,0.122184,-609,-1359,8985,-4213,-11507
Blue,bot,1737,28.95,0,loss,2,2,1,1.50,3,9,10,0.26326,202,432,11908,-923,-11507
Blue,sup,1737,28.95,0,loss,0,2,3,1.50,3,9,10,0.0366087,-56,-83,5705,-985,-11507
Red,top,1737,28.95,1,win,3,0,5,8.00,9,3,22,0.2489,1159,1373,13136,3494,11507
Red,jng,1737,28.95,1,win,3,0,2,5.00,9,3,22,0.178149,372,157,11067,1892,11507
Red,mid,1737,28.95,1,win,2,1,4,6.00,9,3,22,0.197838,609,1359,13198,4213,11507
Red,bot,1737,28.95,1,win,1,1,6,7.00,9,3,22,0.315782,-202,-432,12831,923,11507
Red,sup,1737,28.95,1,win,0,1,5,5.00,9,3,22,0.0593301,56,83,6690,985,11507
Blue,top,2263,37.72,0,loss,5,4,9,3.50,18,17,60,0.226944,-323,-651,14041,-864,-1749
Blue,jng,2263,37.72,0,loss,4,2,13,8.50,18,17,60,0.221247,-38,-875,13319,516,-1749
Blue,mid,2263,37.72,0,loss,2,2,14,8.00,18,17,60,0.236142,-127,-424,14655,-2039,-1749
Blue,bot,2263,37.72,0,loss,7,4,8,3.75,18,17,60,0.243364,149,-137,16691,611,-1749
Blue,sup,2263,37.72,0,loss,0,5,16,3.20,18,17,60,0.0723025,60,180,8653,27,-1749
Red,top,2263,37.72,1,win,0,5,14,2.80,17,18,47,0.150169,323,651,14905,864,1749
Red,jng,2263,37.72,1,win,1,3,10,3.67,17,18,47,0.155343,38,875,12803,-516,1749
Red,mid,2263,37.72,1,win,7,4,5,3.00,17,18,47,0.235203,127,424,16694,2039,1749
Red,bot,2263,37.72,1,win,7,3,8,5.00,17,18,47,0.409336,-149,137,16080,-611,1749
Red,sup,2263,37.72,1,win,2,3,10,4.00,17,18,47,0.0499489,-60,-180,8626,-27,1749
Blue,top,1495,24.92,0,loss,2,2,2,2.00,4,14,7,0.441752,263,261,10006,386,-8991
Blue,jng,1495,24.92,0,loss,2,3,1,1.00,4,14,7,0.197736,365,294,8572,-1228,-8991
Blue,mid,1495,24.92,0,loss,0,2,2,1.00,4,14,7,0.172803,-1035,-1290,8369,-3388,-8991
Blue,bot,1495,24.92,0,loss,0,5,0,0.00,4,14,7,0.123402,-126,69,7774,-3422,-8991
Blue,sup,1495,24.92,0,loss,0,2,2,1.00,4,14,7,0.0643073,-39,320,5257,-1339,-8991
Red,top,1495,24.92,1,win,3,2,3,3.00,14,4,30,0.22575,-263,-261,9620,-386,8991
Red,jng,1495,24.92,1,win,4,1,6,10.00,14,4,30,0.181951,-365,-294,9800,1228,8991
Red,mid,1495,24.92,1,win,2,0,9,11.00,14,4,30,0.226215,1035,1290,11757,3388,8991
Red,bot,1495,24.92,1,win,4,0,4,8.00,14,4,30,0.303995,126,-69,11196,3422,8991
Red,sup,1495,24.92,1,win,1,1,8,9.00,14,4,30,0.0620895,39,-320,6596,1339,8991
Blue,top,1898,31.63,1,win,2,3,9,3.67,21,12,50,0.169352,4,723,13567,2875,12169
Blue,jng,1898,31.63,1,win,8,1,8,16.00,21,12,50,0.202867,109,-429,13961,2856,12169
Blue,mid,1898,31.63,1,win,3,1,13,16.00,21,12,50,0.300304,438,1051,14127,3671,12169
Blue,bot,1898,31.63,1,win,8,3,7,5.00,21,12,50,0.238756,-409,-377,13136,1017,12169
Blue,sup,1898,31.63,1,win,0,4,13,3.25,21,12,50,0.0887204,-90,195,8127,1750,12169
Red,top,1898,31.63,0,loss,1,4,6,1.75,12,21,34,0.217294,-4,-723,10692,-2875,-12169
Red,jng,1898,31.63,0,loss,5,2,5,5.00,12,21,34,0.290781,-109,429,11105,-2856,-12169
Red,mid,1898,31.63,0,loss,3,4,5,2.00,12,21,34,0.176266,-438,-1051,10456,-3671,-12169
Red,bot,1898,31.63,0,loss,3,7,8,1.57,12,21,34,0.242075,409,377,12119,-1017,-12169
Red,sup,1898,31.63,0,loss,0,4,10,2.50,12,21,34,0.0735843,90,-195,6377,-1750,-12169
Blue,top,1975,32.92,0,loss,5,5,3,1.60,11,24,24,0.188327,-523,-1074,11818,-1560,-11972
Blue,jng,1975,32.92,0,loss,2,5,6,1.60,11,24,24,0.267372,972,1335,11141,-2540,-11972
Blue,mid,1975,32.92,0,loss,1,6,5,1.00,11,24,24,0.199402,113,-1188,11573,-4181,-11972
Blue,bot,1975,32.92,0,loss,3,4,5,2.00,11,24,24,0.291202,-277,-1324,11834,-2157,-11972
Blue,sup,1975,32.92,0,loss,0,4,5,1.25,11,24,24,0.0536982,-254,-327,6523,-1534,-11972
Red,top,1975,32.92,1,win,3,3,5,2.67,24,11,47,0.152886,523,1074,13378,1560,11972
Red,jng,1975,32.92,1,win,6,2,14,10.00,24,11,47,0.204588,-972,-1335,13681,2540,11972
Red,mid,1975,32.92,1,win,11,2,3,7.00,24,11,47,0.260629,-113,1188,15754,4181,11972
Red,bot,1975,32.92,1,win,4,2,11,7.50,24,11,47,0.326088,277,1324,13991,2157,11972
Red,sup,1975,32.92,1,win,0,2,14,7.00,24,11,47,0.0558087,254,327,8057,1534,11972
Blue,top,1841,30.68,1,win,4,2,6,5.00,17,10,45,0.153711,-345,82,12906,2477,10795
Blue,jng,1841,30.68,1,win,4,3,10,4.67,17,10,45,0.199097,182,734,12342,1894,10795
Blue,mid,1841,30.68,1,win,7,3,5,4.00,17,10,45,0.382988,642,1007,14151,3965,10795
Blue,bot,1841,30.68,1,win,2,2,11,6.50,17,10,45,0.198928,57,1033,13743,1091,10795
Blue,sup,1841,30.68,1,win,0,0,13,13.00,17,10,45,0.0652758,133,252,7593,1368,10795
Red,top,1841,30.68,0,loss,0,2,5,2.50,10,17,25,0.162227,345,-82,10429,-2477,-10795
Red,jng,1841,30.68,0,loss,2,5,6,1.60,10,17,25,0.240507,-182,-734,10448,-1894,-10795
Red,mid,1841,30.68,0,loss,3,3,5,2.67,10,17,25,0.198706,-642,-1007,10186,-3965,-10795
Red,bot,1841,30.68,0,loss,5,3,3,2.67,10,17,25,0.329975,-57,-1033,12652,-1091,-10795
Red,sup,1841,30.68,0,loss,0,4,6,1.50,10,17,25,0.068586,-133,-252,6225,-1368,-10795
Blue,top,2005,33.42,0,loss,7,5,8,3.00,21,31,56,0.182517,-470,-655,12021,-4584,-12056
Blue,jng,2005,33.42,0,loss,3,6,10,2.17,21,31,56,0.120839,178,510,10433,-1724,-12056
Blue,mid,2005,33.42,0,loss,5,5,9,2.80,21,31,56,0.352639,433,750,14700,197,-12056
Blue,bot,2005,33.42,0,loss,5,7,14,2.71,21,31,56,0.238619,-714,-852,12719,-3958,-12056
Blue,sup,2005,33.42,0,loss,1,8,15,2.00,21,31,56,0.105387,104,278,7731,-1987,-12056
Red,top,2005,33.42,1,win,7,2,16,11.50,31,21,84,0.206699,470,655,16605,4584,12056
Red,jng,2005,33.42,1,win,5,4,19,6.00,31,21,84,0.168575,-178,-510,12157,1724,12056
Red,mid,2005,33.42,1,win,4,3,15,6.33,31,21,84,0.191271,-433,-750,14503,-197,12056
Red,bot,2005,33.42,1,win,12,7,10,3.14,31,21,84,0.321733,714,852,16677,3958,12056
Red,sup,2005,33.42,1,win,3,5,24,5.40,31,21,84,0.111721,-104,-278,9718,1987,12056
Blue,top,1492,24.87,1,win,7,1,3,10.00,18,5,36,0.309869,2292,3538,13613,6123,14162
Blue,jng,1492,24.87,1,win,2,1,10,12.00,18,5,36,0.210893,220,621,9813,2998,14162
Blue,mid,1492,24.87,1,win,5,0,4,9.00,18,5,36,0.209212,902,1237,11452,4348,14162
Blue,bot,1492,24.87,1,win,4,3,7,3.67,18,5,36,0.212597,-1058,-1747,9758,385,14162
Blue,sup,1492,24.87,1,win,0,0,12,12.00,18,5,36,0.0574298,-392,-765,6328,308,14162
Red,top,1492,24.87,0,loss,1,4,1,0.50,5,18,8,0.265133,-2292,-3538,7490,-6123,-14162
Red,jng,1492,24.87,0,loss,3,5,1,0.80,5,18,8,0.221163,-220,-621,6815,-2998,-14162
Red,mid,1492,24.87,0,loss,0,4,1,0.25,5,18,8,0.178224,-902,-1237,7104,-4348,-14162
Red,bot,1492,24.87,0,loss,0,2,2,1.00,5,18,8,0.218663,1058,1747,9373,-385,-14162
Red,sup,1492,24.87,0,loss,1,3,3,1.33,5,18,8,0.116816,392,765,6020,-308,-14162
Blue,top,1141,19.02,1,win,2,0,1,3.00,12,2,15,0.256617,162,127,7092,1574,11343
Blue,jng,1141,19.02,1,win,4,1,3,7.00,12,2,15,0.2159,165,973,7391,2321,11343
